P1	P2	P4	P6	P7	P3	P5	P8	P9	P10	TOTAL	gender	age	source	country
3	3	2	2	2	2	2	1	2	2	21	2	22	1	US
3	3	2	3	1	2	2	3	2	2	23	0	0	1	US
2	1	1	2	1	2	1	1	1	1	13	2	18	1	US
3	3	3	3	3	3	3	2	2	2	27	2	20	1	US
0	2	3	1	0	3	3	0	3	3	18	1	50	1	US
2	2	2	1	1	2	3	1	1	1	16	2	17	1	PH
3	3	3	3	3	3	3	3	3	3	30	2	40	3	GB
3	3	3	2	2	2	1	0	1	3	20	1	52	3	MY
3	3	2	2	2	3	2	3	3	3	26	2	40	2	US
3	3	2	2	2	2	2	2	0	0	18	2	20	1	HU
0	0	0	3	0	3	0	1	0	0	7	2	19	3	US
3	3	3	3	2	3	3	3	1	3	27	2	40	3	US
2	2	2	1	1	2	1	1	0	0	12	2	32	1	AT
2	2	1	2	2	3	3	0	2	2	19	2	23	3	US
3	3	2	2	3	1	1	1	1	1	18	2	15	1	US
1	2	2	2	0	1	1	0	1	1	11	1	16	1	US
2	2	2	0	1	1	1	1	0	1	11	2	16	1	AU
3	3	2	2	2	3	2	1	1	3	22	2	15	1	US
3	3	3	2	2	3	3	2	2	2	25	1	22	1	US
2	2	2	1	1	2	2	0	2	2	16	2	18	1	US
3	3	3	3	3	2	3	3	3	3	29	1	25	1	CA
3	2	3	1	1	1	1	1	1	2	16	1	24	3	CA
2	2	2	2	1	2	1	1	1	2	16	2	27	1	CA
2	3	2	3	2	3	3	3	1	3	25	1	27	1	HK
3	2	2	1	1	2	2	2	2	3	20	2	24	1	KR
2	2	2	1	1	1	1	1	1	1	13	2	27	1	US
2	2	2	2	1	2	2	2	1	1	17	2	16	1	US
2	2	2	3	3	3	3	2	2	2	24	2	17	1	IN
2	3	2	0	0	2	2	0	1	1	13	2	33	1	AU
2	2	3	2	2	2	1	3	1	3	21	2	37	1	AU
2	3	1	2	1	2	3	1	2	2	19	1	56	3	US
3	3	3	2	2	3	3	1	2	1	23	2	49	3	CA
2	2	1	2	2	2	1	2	1	2	17	2	16	1	US
2	2	1	1	1	2	2	1	1	2	15	2	34	3	GB
2	2	2	2	1	1	0	1	1	1	13	2	40	3	US
3	2	2	3	2	3	1	2	2	2	22	1	28	3	CA
3	2	2	3	3	3	3	2	1	3	25	1	45	3	US
2	2	2	2	1	1	1	1	1	2	15	2	22	3	US
2	2	1	1	1	1	2	1	2	1	14	2	61	1	US
2	2	2	2	2	2	2	2	1	2	19	1	18	1	GB
3	3	3	2	2	3	2	1	1	1	21	1	60	3	CA
2	1	1	1	1	1	1	1	1	1	11	2	18	1	US
1	1	0	1	1	0	0	1	0	0	5	1	25	3	GB
2	2	2	2	2	2	2	1	1	1	17	2	21	3	US
2	2	2	2	2	2	2	2	2	2	20	2	36	3	US
3	3	3	2	0	1	2	1	2	1	18	2	20	3	US
2	2	2	1	1	2	2	0	1	1	14	2	19	3	US
3	3	2	2	1	1	2	0	1	2	17	2	22	1	RS
1	2	2	2	0	1	2	0	1	2	13	1	23	1	RS
3	3	2	1	0	0	0	1	0	1	11	1	22	1	US
2	2	2	2	2	3	2	2	2	3	22	1	39	3	NZ
1	2	2	0	0	2	0	3	1	3	14	2	19	1	US
3	3	3	3	3	3	0	3	3	3	27	2	64	1	US
1	2	2	0	1	2	1	0	1	1	11	1	21	3	GB
3	3	1	3	3	3	1	0	1	2	20	2	31	1	BG
0	3	3	0	0	0	0	0	0	0	6	2	29	1	SE
0	0	0	0	0	0	0	0	3	3	6	2	52	3	US
3	3	3	2	3	1	2	3	1	1	22	2	24	3	ZA
0	0	2	0	0	1	0	0	0	0	3	1	21	1	SE
2	2	3	2	3	3	2	2	2	3	24	1	23	1	A2
2	2	2	2	2	1	2	2	3	2	20	1	18	1	BE
2	3	3	0	0	2	1	1	1	2	15	1	48	3	FI
2	2	2	2	1	1	2	1	1	1	15	1	0	3	US
3	3	3	3	3	3	3	3	3	3	30	1	22	1	GB
2	2	2	1	1	1	1	1	2	2	15	1	22	1	GB
3	2	3	1	1	2	3	2	2	1	20	1	29	1	CZ
2	2	2	2	2	2	3	1	2	1	19	2	24	3	US
3	3	3	3	2	2	3	3	1	3	26	1	18	3	EG
2	2	1	2	2	2	2	2	2	2	19	1	56	3	US
2	2	2	2	1	2	2	2	2	2	19	1	27	1	CZ
3	3	3	2	1	3	3	2	3	3	26	2	22	3	US
2	2	3	2	3	3	2	2	1	2	22	2	18	1	US
1	1	2	0	0	0	0	2	0	0	6	1	52	1	US
0	0	0	0	0	2	3	3	3	3	14	2	30	1	US
2	3	3	2	2	3	2	0	3	2	22	2	58	1	US
2	3	3	2	2	3	3	0	3	2	23	2	58	3	US
3	3	2	2	2	3	1	1	1	1	19	1	35	1	GB
1	2	2	1	1	1	1	1	1	1	12	2	28	1	US
2	3	2	3	3	2	1	2	1	2	21	1	29	1	NG
3	3	3	1	1	3	3	1	2	1	21	1	63	1	US
2	1	2	1	1	1	1	0	0	1	10	1	43	3	US
2	2	2	2	2	3	2	2	1	1	19	2	21	3	US
1	2	1	1	1	2	1	2	1	1	13	2	15	1	GB
2	2	2	2	2	2	2	1	1	1	17	1	23	1	US
2	2	2	2	2	3	3	2	1	1	20	2	54	3	US
2	2	3	1	1	2	3	1	2	2	19	2	17	1	GB
2	2	1	1	0	0	0	0	0	0	6	1	53	1	US
1	2	1	0	1	1	0	3	3	3	15	1	63	3	US
2	1	2	0	0	1	2	1	0	0	9	1	63	3	US
3	3	2	3	1	1	1	3	3	3	23	2	29	1	CA
2	2	2	1	1	2	3	0	1	1	15	1	31	1	CA
1	1	1	1	0	1	1	0	0	0	6	1	22	1	GB
1	2	1	2	0	1	0	1	0	0	8	2	28	1	GB
2	2	2	1	1	1	1	0	1	1	12	2	30	3	US
3	3	3	3	3	3	3	1	0	3	25	2	22	1	LB
3	3	3	3	2	2	2	1	2	2	23	1	68	3	US
0	0	0	0	0	0	3	0	0	0	3	2	17	1	US
2	2	2	2	0	2	2	0	0	0	12	1	42	3	US
1	2	1	0	0	2	2	0	1	1	10	2	48	3	GB
3	3	2	2	2	2	3	2	2	2	23	2	25	1	CA
3	2	2	2	0	2	3	0	1	1	16	1	19	1	US
3	3	3	2	2	3	3	2	1	3	25	1	17	1	CA
1	1	2	1	1	2	2	1	2	1	14	1	19	1	US
3	3	3	3	3	3	3	3	3	3	30	1	42	1	US
3	3	3	3	2	2	3	3	2	1	25	2	21	1	US
2	1	1	1	1	1	1	1	1	1	11	2	21	1	US
1	2	1	1	1	2	1	1	2	1	13	1	29	1	BE
2	2	2	2	2	3	2	2	2	2	21	1	30	1	OM
3	3	3	2	2	3	2	2	1	3	24	2	19	1	US
2	2	2	3	3	2	1	0	1	0	16	2	15	1	SG
2	2	1	0	0	1	2	2	1	1	12	2	62	3	US
1	2	1	1	1	1	1	1	0	2	11	1	32	3	DE
2	2	1	1	0	0	1	1	0	0	8	2	22	1	GB
2	2	2	1	1	1	1	1	1	1	13	1	35	3	US
0	3	2	0	0	0	0	0	0	0	5	1	32	3	US
2	2	3	2	1	3	2	1	2	2	20	2	26	3	CA
2	2	2	1	1	2	2	1	0	1	14	2	48	1	GB
3	3	2	1	1	2	1	1	1	0	15	2	54	1	US
0	0	0	0	0	0	0	0	0	0	0	0	0	3	US
1	2	2	0	0	1	1	0	0	0	7	1	38	1	GB
3	3	3	2	2	2	2	2	1	2	22	1	19	1	ZA
1	1	1	1	0	2	1	1	0	0	8	1	16	1	IE
2	0	0	2	3	2	0	1	0	0	10	2	16	1	GB
2	2	2	0	0	1	1	1	0	0	9	2	21	1	US
2	2	2	2	2	2	1	1	0	0	14	2	15	3	US
0	1	0	0	0	0	0	0	0	0	1	1	24	1	IE
3	3	3	2	1	2	2	2	1	2	21	1	38	3	AU
2	2	1	1	1	1	1	1	1	1	12	1	38	3	AE
3	3	3	3	3	3	3	3	2	3	29	1	43	3	US
3	3	3	1	0	1	1	0	1	1	14	1	22	1	IT
2	2	1	0	1	2	2	1	0	0	11	2	33	3	DK
1	2	0	1	1	0	1	0	0	1	7	2	22	1	US
3	3	2	1	1	3	2	3	1	3	22	1	23	1	HU
2	3	2	1	1	2	2	0	1	1	15	2	15	1	US
3	3	2	3	3	3	3	1	3	3	27	2	18	1	US
1	2	2	1	2	2	0	0	0	0	10	2	20	1	US
2	2	2	2	1	2	1	2	1	1	16	2	40	1	US
2	3	2	2	1	2	2	2	1	1	18	1	36	1	GB
2	2	1	2	0	1	2	1	0	1	12	2	19	3	US
3	3	2	1	1	1	1	1	1	1	15	1	32	1	GR
3	2	3	2	2	3	3	3	3	3	27	2	34	1	US
3	3	2	2	1	3	3	1	2	3	23	1	38	1	GB
1	3	2	2	1	2	3	0	1	0	15	2	40	1	CA
2	2	1	1	1	1	1	0	0	1	10	2	18	1	CA
2	3	1	2	1	2	1	1	1	1	15	1	17	1	US
3	3	3	2	2	3	3	2	3	3	27	2	28	3	US
2	2	2	2	1	2	2	2	2	1	18	2	19	3	AU
3	2	2	2	1	2	1	2	1	2	18	1	36	1	ES
3	3	2	3	3	2	3	2	1	2	24	2	14	1	AU
3	3	3	3	3	3	3	3	1	3	28	2	25	3	US
2	3	2	2	1	2	2	2	2	3	21	1	52	1	US
3	3	3	3	2	3	3	3	3	3	29	1	46	1	US
2	2	3	3	2	3	3	2	2	1	23	1	22	1	IN
3	3	3	1	1	2	2	1	1	1	18	2	46	1	US
2	2	2	2	2	2	2	1	1	1	17	1	37	3	RO
1	1	1	1	1	1	1	1	1	0	9	2	17	1	US
1	1	2	2	1	3	0	2	1	1	14	1	30	1	PL
2	2	2	2	1	2	1	1	1	1	15	1	25	3	US
2	2	3	3	3	3	3	3	3	2	27	1	22	1	RS
3	3	3	3	2	2	2	2	2	2	24	2	49	1	DK
2	2	2	2	2	2	2	1	1	1	17	2	18	1	US
1	2	1	2	2	2	2	1	1	2	16	1	46	1	US
3	3	3	3	3	3	3	3	2	3	29	2	29	1	US
2	3	2	2	2	3	2	3	1	3	23	1	41	3	AU
3	3	2	2	2	2	3	1	1	3	22	2	25	1	US
1	2	1	1	0	1	1	0	0	0	7	1	33	1	US
2	3	2	2	3	2	3	3	2	3	25	2	38	3	US
2	1	2	1	1	1	1	1	0	1	11	2	25	1	US
2	2	3	2	2	2	2	1	1	2	19	2	44	1	AU
2	2	3	2	2	2	1	1	0	1	16	2	19	1	US
2	2	2	1	1	2	2	1	1	2	16	1	41	1	RS
3	3	3	3	3	3	3	1	3	3	28	2	56	1	US
2	2	2	2	1	2	1	1	0	0	13	1	14	1	AU
3	3	3	3	2	3	3	2	1	2	25	1	45	1	AU
3	3	2	2	2	2	3	0	1	2	20	2	29	1	RS
3	3	3	2	2	3	3	3	1	1	24	2	15	1	AU
3	3	1	2	1	3	1	3	0	2	19	1	31	3	DE
2	2	2	1	0	2	2	0	0	1	12	2	20	1	US
1	1	1	1	1	1	2	1	1	1	11	2	22	3	US
2	2	2	2	1	2	1	0	1	1	14	2	25	1	US
1	2	2	0	1	1	2	1	1	1	12	2	42	3	DE
2	2	2	1	0	1	1	0	0	1	10	1	22	3	RU
3	3	2	2	2	2	3	2	1	1	21	1	26	3	BR
3	3	2	2	2	3	2	2	2	2	23	1	49	1	US
3	2	2	2	2	2	2	1	1	1	18	2	26	1	RO
2	2	2	2	2	2	2	1	1	1	17	2	27	3	BE
3	3	2	3	2	3	3	3	3	3	28	2	32	1	DK
1	2	2	1	1	0	1	1	1	1	11	2	23	3	US
2	2	2	2	1	2	2	1	0	1	15	2	27	3	US
3	3	3	3	3	3	3	3	3	3	30	1	18	3	EU
3	3	3	2	2	3	3	2	2	3	26	1	47	1	US
3	3	2	3	3	2	2	1	2	3	24	2	44	1	US
2	2	2	1	1	1	1	1	1	1	13	1	21	1	DE
3	3	2	2	2	2	2	3	3	3	25	1	23	1	US
2	2	2	1	1	2	2	1	2	2	17	1	31	1	US
2	1	3	1	1	1	1	0	1	2	13	2	23	1	US
2	1	1	2	1	1	1	0	0	0	9	2	26	1	US
2	3	3	0	1	2	3	0	0	0	14	2	21	1	US
3	3	2	3	3	3	2	1	1	3	24	1	20	1	US
2	2	2	2	2	2	2	2	2	3	21	1	73	3	GB
2	2	2	1	2	2	3	1	1	2	18	2	30	3	GB
0	1	3	1	0	1	1	1	0	1	9	2	19	1	PH
2	2	2	2	2	2	2	1	1	2	18	2	19	1	PH
1	2	1	1	1	1	0	0	0	0	7	2	17	1	PH
2	1	3	2	1	1	1	1	1	2	15	2	34	3	RU
3	3	3	2	2	1	1	1	1	1	18	1	20	1	AU
1	2	2	0	0	0	0	0	0	0	5	2	19	1	GB
3	2	3	2	3	3	3	2	2	2	25	1	13	3	CA
3	2	2	2	2	1	1	1	1	1	16	1	20	1	BE
2	1	1	1	1	1	1	1	0	0	9	2	14	3	US
2	2	2	2	1	2	2	1	1	1	16	1	45	3	HU
3	3	2	1	1	1	1	2	1	2	17	3	16	1	US
1	1	1	1	0	1	0	0	0	1	6	1	20	1	IT
2	2	2	2	1	1	1	1	1	1	14	2	19	1	IN
1	2	1	0	1	0	1	1	0	0	7	2	26	3	GB
1	2	2	1	1	1	1	1	1	1	12	1	62	3	NL
1	1	0	0	1	1	1	1	1	1	8	1	18	1	GB
2	2	2	1	1	0	1	0	3	3	15	2	18	1	US
2	3	2	2	3	2	1	3	3	3	24	2	23	1	BA
2	2	2	1	0	2	2	3	1	2	17	1	45	3	US
3	3	2	3	3	3	3	3	3	3	29	1	36	1	US
2	3	2	1	0	1	0	0	0	1	10	1	34	1	US
3	3	2	3	3	3	3	3	3	3	29	2	48	1	US
2	2	2	2	2	1	2	2	1	1	17	2	23	1	GB
2	2	2	1	1	1	2	1	2	2	16	1	46	1	CA
3	3	2	3	2	3	3	3	3	3	28	2	32	1	US
2	1	2	1	1	1	0	1	1	1	11	2	16	1	CA
2	3	2	2	2	2	3	1	1	2	20	1	32	3	US
2	1	2	2	2	2	2	1	0	1	15	2	23	3	IN
2	2	2	2	2	2	1	1	1	1	16	1	23	1	US
2	2	2	2	2	2	1	1	1	1	16	1	24	3	FR
3	3	3	3	3	3	3	1	3	3	28	2	43	1	IN
2	2	2	2	1	3	2	3	2	3	22	2	22	1	JP
2	2	2	2	3	2	1	1	1	1	17	1	14	1	AU
3	3	3	3	2	3	3	3	1	3	27	2	53	1	BE
2	3	2	2	2	1	2	2	1	1	18	2	24	1	HU
3	2	1	1	0	1	1	1	1	2	13	1	23	1	IN
2	2	2	1	1	2	2	1	2	2	17	1	39	1	US
2	2	1	0	1	1	1	0	2	0	10	1	27	1	US
3	3	3	3	2	3	3	1	3	3	27	1	33	3	US
2	2	2	1	2	2	1	1	0	0	13	2	16	1	GB
2	2	2	2	2	1	3	3	1	2	20	1	21	3	CA
2	2	3	1	0	1	1	2	0	1	13	1	29	1	US
2	2	2	1	2	2	2	1	1	1	16	1	28	3	US
2	2	2	2	2	3	3	2	2	3	23	2	21	1	US
2	2	2	1	1	2	1	2	1	0	14	2	16	1	US
2	2	2	1	1	1	2	1	1	1	14	1	29	3	US
2	2	2	1	1	1	1	1	1	3	15	1	53	1	US
0	3	1	0	0	0	0	1	0	0	5	1	24	1	US
1	2	1	0	0	0	1	2	0	0	7	1	19	1	US
2	2	3	0	0	2	0	2	2	0	13	1	21	1	US
3	3	3	2	2	1	2	2	0	1	19	1	55	1	IN
2	2	2	2	1	1	2	1	1	1	15	2	45	1	PL
2	2	2	1	1	2	1	2	1	1	15	2	21	1	US
1	1	2	1	1	1	1	1	0	0	9	1	27	3	IL
3	3	3	3	3	3	3	3	3	3	30	2	50	3	CA
2	2	2	2	2	3	2	1	1	1	18	1	30	3	MA
1	1	0	0	0	1	0	0	0	0	3	2	33	3	GB
2	2	1	1	1	1	1	1	1	1	12	1	38	3	GB
2	2	2	2	2	2	1	0	1	3	17	2	22	3	US
0	0	0	0	0	0	0	0	0	0	0	1	36	3	NO
1	2	2	1	3	0	1	0	3	3	16	1	26	3	US
2	2	3	0	0	0	2	0	0	0	9	2	27	1	RU
2	3	2	2	2	2	2	1	0	1	17	1	28	1	US
2	1	1	1	1	2	2	2	1	1	14	2	24	1	US
3	3	3	3	3	3	3	3	3	3	30	1	33	1	CA
3	3	3	3	3	3	3	3	3	3	30	1	33	1	CA
3	3	3	3	3	0	0	0	0	0	15	1	55	3	CA
1	1	1	1	1	0	1	1	0	1	8	2	17	1	GB
3	3	2	2	2	2	2	1	1	2	20	2	23	1	MX
2	0	1	0	3	0	1	1	0	0	8	2	17	1	GB
2	2	2	1	1	2	2	1	1	1	15	1	26	3	AU
2	2	2	1	1	1	0	1	1	1	12	1	17	1	GB
3	3	2	1	1	1	1	1	1	1	15	1	42	1	GB
2	2	1	2	1	1	1	2	1	1	14	2	31	1	AU
2	2	1	1	1	1	1	1	1	1	12	1	59	1	PH
1	2	2	0	0	2	2	0	0	0	9	1	17	1	US
1	0	1	1	0	1	1	0	0	0	5	2	15	3	US
2	2	3	2	1	3	2	2	2	1	20	1	16	1	US
1	2	1	1	0	0	1	0	0	1	7	1	21	3	US
0	0	3	3	3	2	3	3	3	2	22	2	18	1	AU
2	1	2	0	0	0	1	2	1	1	10	3	14	1	AU
1	0	2	0	0	1	1	0	1	1	7	2	20	1	US
2	2	2	0	1	0	2	1	0	1	11	1	22	3	US
2	2	2	1	1	1	1	1	1	1	13	1	48	3	DZ
2	3	3	3	3	3	3	1	2	2	25	1	23	1	US
2	2	1	0	0	0	1	0	0	0	6	2	27	1	GB
3	3	3	3	2	3	3	1	3	3	27	2	49	3	PH
2	2	2	2	2	2	1	1	1	2	17	1	31	1	NL
1	2	1	3	2	3	1	2	2	1	18	2	23	3	SA
2	2	2	1	0	1	2	0	1	0	11	2	33	3	US
3	2	3	3	3	3	2	3	2	3	27	1	21	1	US
1	1	2	1	0	0	3	1	0	0	9	2	17	1	RO
2	2	3	2	2	2	1	1	2	3	20	2	48	1	US
2	2	1	1	1	1	1	0	1	1	11	2	34	1	US
2	2	2	1	1	2	2	1	1	1	15	1	35	3	CA
2	3	3	2	2	2	2	0	0	0	16	2	21	1	US
2	2	1	1	1	2	1	1	1	1	13	2	23	3	US
3	3	2	2	2	2	2	0	2	1	19	2	20	1	FI
1	1	2	0	0	0	0	1	0	0	5	2	20	1	DE
1	2	1	1	1	1	0	1	1	0	9	1	21	3	US
2	2	2	1	1	1	1	1	1	2	14	1	21	1	IT
3	3	3	3	3	3	3	3	3	3	30	1	23	1	CA
3	3	2	2	3	2	3	2	2	3	25	1	27	3	DE
2	2	3	2	2	2	2	1	1	2	19	2	19	1	US
2	1	2	0	0	2	0	0	0	0	7	2	22	3	US
0	0	0	0	0	3	0	0	0	0	3	2	17	1	NZ
0	0	0	0	0	3	3	0	3	3	12	2	17	1	AU
0	1	2	1	1	1	1	2	1	2	12	2	12	3	BR
2	2	2	2	2	1	1	1	1	1	15	1	16	3	HK
3	3	2	2	3	2	2	2	1	1	21	1	55	3	CH
3	2	2	2	1	2	3	1	1	1	18	2	26	3	IE
2	2	1	2	1	2	2	2	2	2	18	2	38	1	IL
3	3	2	2	2	3	3	2	2	1	23	2	24	1	CH
3	3	3	2	3	2	3	2	2	3	26	2	25	3	US
2	2	1	2	2	2	2	1	1	1	16	2	31	1	US
2	1	1	1	1	1	0	0	1	1	9	1	18	1	US
2	2	2	2	2	1	2	2	1	1	17	2	17	1	FR
2	2	0	2	2	2	1	2	0	1	14	2	18	3	US
2	2	2	2	1	3	2	1	2	1	18	2	20	3	US
1	0	2	0	0	1	1	0	1	0	6	2	16	1	US
1	2	2	2	2	2	1	0	0	1	13	2	19	1	GB
2	2	2	2	2	3	2	2	1	2	20	2	15	1	US
0	1	2	0	0	0	0	2	0	0	5	2	21	1	CA
2	2	2	2	2	2	1	2	1	1	17	2	15	1	AU
2	1	1	0	0	2	1	0	1	1	9	2	17	1	NZ
2	2	2	2	2	2	2	1	1	1	17	2	14	1	US
2	3	2	2	2	3	2	0	1	1	18	2	14	1	US
2	2	2	2	2	2	3	3	2	1	21	2	16	1	AU
2	3	3	1	1	1	1	0	0	1	13	2	19	1	HR
3	3	3	3	3	3	3	3	3	3	30	2	17	3	JM
2	2	2	1	1	1	2	2	2	2	17	2	30	1	US
2	2	1	1	1	1	1	1	1	1	12	2	22	1	US
1	2	2	1	2	2	1	1	1	0	13	1	23	1	US
3	3	2	2	2	3	3	3	3	3	27	2	31	1	US
1	2	2	0	1	1	2	0	2	1	12	2	17	1	US
3	3	3	3	3	3	1	2	1	2	24	2	20	1	US
2	2	2	1	1	0	1	1	0	0	10	2	16	3	AU
3	3	3	2	2	2	2	3	3	3	26	1	35	3	BD
3	2	2	1	2	2	3	0	1	1	17	2	26	1	RS
3	3	3	3	2	2	3	3	2	1	25	2	17	3	PH
2	2	2	2	1	2	1	1	1	1	15	2	19	1	LT
2	2	1	1	2	0	1	2	1	0	12	2	19	3	NZ
2	3	3	2	3	2	2	1	2	3	23	1	25	3	ZA
3	3	2	1	1	1	2	1	2	1	17	2	25	1	MY
3	3	3	3	2	3	3	2	2	3	27	1	41	1	ZA
1	2	1	0	0	0	0	1	0	1	6	2	35	3	US
2	3	3	3	2	3	1	2	2	3	24	1	16	3	DE
2	2	2	1	1	1	3	0	1	1	14	2	52	1	US
3	3	3	3	3	2	2	2	2	3	26	2	20	1	MX
2	2	2	2	2	2	1	1	1	1	16	2	18	1	US
2	2	2	1	2	1	2	0	3	3	18	2	22	1	GB
3	2	0	3	0	3	3	1	3	3	21	1	23	1	US
2	3	3	2	1	2	2	1	1	1	18	1	18	1	NZ
2	2	2	0	1	1	2	0	0	1	11	1	32	1	US
2	2	2	2	2	2	2	1	2	3	20	2	16	1	MY
2	2	2	2	2	2	2	2	2	2	20	2	39	1	GB
1	2	1	1	0	1	1	1	0	1	9	1	18	1	GB
3	3	1	0	0	0	0	1	1	1	10	2	20	1	GB
3	2	2	3	3	3	2	2	3	3	26	2	27	1	GB
2	2	3	2	2	3	3	3	2	2	24	1	42	1	AU
3	3	1	2	2	3	3	2	1	3	23	1	48	1	US
2	2	2	1	1	1	2	1	0	1	13	2	17	1	CA
1	2	1	1	1	2	1	1	1	1	12	2	20	1	US
3	3	1	3	3	3	3	0	1	1	21	1	14	1	NZ
3	3	2	2	2	2	2	2	1	1	20	2	29	1	IE
2	3	3	1	2	0	2	0	0	1	14	1	25	1	US
2	2	2	1	1	1	1	0	1	0	11	1	31	1	GR
3	3	3	2	3	3	2	2	2	3	26	2	17	1	ZA
2	2	1	1	0	1	0	1	0	0	8	1	21	1	SG
3	3	2	2	2	3	3	2	1	1	22	1	39	1	CA
2	2	2	3	3	3	2	2	3	3	25	2	13	3	CA
3	2	2	2	1	2	3	1	2	3	21	2	24	1	US
2	2	1	1	1	1	1	1	2	2	14	2	22	3	US
1	2	1	2	2	1	1	1	2	2	15	2	22	1	US
2	2	2	1	1	2	1	1	1	2	15	1	40	1	US
2	1	2	2	2	0	3	2	1	1	16	2	44	3	BZ
1	1	1	1	1	1	1	0	0	0	7	2	16	1	US
2	1	1	1	1	1	1	0	1	0	9	2	16	1	US
2	2	3	2	2	3	2	3	2	2	23	1	17	3	DE
2	3	1	2	1	3	1	1	1	3	18	2	23	3	US
2	2	2	2	2	2	1	1	1	2	17	2	22	3	US
3	3	3	3	2	3	3	3	3	3	29	1	24	1	GH
2	2	1	0	1	1	2	1	0	0	10	2	29	3	US
1	2	0	1	0	1	1	0	0	0	6	2	22	1	FI
1	2	2	0	1	1	1	0	0	0	8	1	47	3	CA
2	2	0	2	1	1	1	1	1	1	12	2	17	1	US
1	2	3	1	0	2	2	1	1	1	14	2	25	1	US
2	1	2	1	1	1	1	1	0	1	11	2	21	1	BR
1	1	2	0	0	1	1	1	1	1	9	2	19	1	US
1	2	2	1	0	1	1	1	0	0	9	2	27	1	US
2	2	2	1	0	1	1	1	1	1	12	1	22	3	AU
2	3	3	2	2	2	2	2	2	3	23	1	30	1	US
1	1	1	1	1	1	1	1	1	1	10	1	15	1	US
3	3	3	2	2	2	1	1	2	1	20	1	50	3	DE
2	2	1	2	2	1	3	1	1	1	16	2	15	3	US
2	3	1	2	2	2	2	0	0	2	16	2	18	1	US
1	2	3	1	1	1	1	2	1	1	14	1	25	1	ZA
1	1	2	1	0	2	2	1	0	0	10	2	16	1	US
3	2	2	3	2	3	2	3	2	3	25	1	40	3	GB
3	3	3	3	3	3	2	3	3	3	29	2	29	1	NL
2	3	1	2	2	1	3	2	0	0	16	1	20	1	US
1	2	3	0	0	1	1	0	0	0	8	2	29	1	AU
2	3	2	2	1	2	2	1	0	1	16	2	33	3	US
2	2	2	1	2	1	1	2	2	2	17	1	13	3	CA
3	3	3	3	2	3	3	2	2	2	26	1	38	1	GB
3	2	3	3	2	2	3	2	1	2	23	2	35	1	SI
0	1	1	0	0	3	3	0	3	3	14	2	41	3	US
2	1	2	2	2	2	1	1	2	2	17	2	30	3	HK
2	2	2	3	2	2	2	2	1	1	19	2	19	3	US
2	3	3	1	2	1	3	1	1	3	20	1	27	1	CA
3	2	2	2	2	1	2	3	1	3	21	1	22	3	CA
3	3	2	2	2	2	2	2	1	1	20	1	57	1	US
2	2	2	2	2	2	3	2	2	3	22	2	36	1	ZA
1	2	1	1	1	2	1	1	1	1	12	1	32	3	US
1	2	1	0	0	2	1	0	0	0	7	1	21	1	US
3	3	2	3	1	2	3	1	2	1	21	1	21	1	US
2	3	2	2	2	3	2	2	2	2	22	1	20	1	CA
2	2	1	1	1	1	2	1	1	2	14	2	21	1	US
2	2	2	3	3	2	2	2	2	3	23	2	51	3	US
1	2	0	0	1	2	0	0	0	0	6	2	18	1	US
2	2	1	1	2	0	1	0	2	1	12	2	43	3	US
3	3	3	2	1	1	2	3	3	2	23	2	24	1	US
3	3	3	3	3	3	3	3	3	3	30	2	22	1	US
3	3	3	2	2	2	3	2	2	3	25	2	58	1	CA
3	3	2	1	2	0	0	0	0	0	11	1	17	1	US
2	2	2	2	1	2	1	1	1	1	15	2	16	1	AU
2	2	2	2	2	1	2	1	0	2	16	1	33	3	US
3	3	3	3	2	2	2	2	1	1	22	1	22	1	US
2	2	2	2	2	2	2	1	1	1	17	2	0	1	US
3	3	3	2	3	3	0	1	3	3	24	2	23	3	US
2	2	2	1	2	2	2	1	1	1	16	0	0	1	CA
2	2	2	2	2	1	2	3	1	1	18	2	20	3	US
2	2	2	0	1	1	2	0	1	2	13	2	26	1	US
2	2	2	2	2	2	2	2	3	2	21	1	19	3	PH
2	2	2	2	3	2	1	1	1	1	17	1	16	1	US
3	3	2	3	3	3	2	2	3	3	27	1	28	1	US
2	1	1	1	1	1	1	1	0	0	9	2	23	1	AR
2	1	2	0	2	0	0	1	1	0	9	1	25	3	PH
3	3	2	3	2	2	2	3	0	2	22	1	14	1	SG
2	2	3	1	1	1	2	0	1	1	14	2	48	1	CA
2	3	1	1	1	1	2	0	1	1	13	2	24	3	AU
3	3	2	2	2	3	3	1	2	3	24	2	20	3	GB
3	3	3	2	1	2	2	1	1	1	19	2	32	3	US
2	2	1	1	1	2	3	1	0	1	14	1	35	1	US
2	2	2	1	1	1	0	0	0	1	10	1	14	1	MY
2	3	1	3	1	1	2	1	1	1	16	1	27	1	GB
1	0	2	0	0	0	0	0	1	0	4	1	14	1	GB
3	2	2	3	3	3	3	2	3	2	26	2	23	3	FR
2	2	1	2	2	2	1	1	0	2	15	1	20	1	US
2	2	2	1	2	1	0	1	0	0	11	2	20	1	DK
3	3	2	3	2	2	3	1	3	3	25	2	58	1	US
3	3	3	3	2	3	3	2	3	3	28	2	44	3	US
3	3	2	2	2	1	1	0	1	2	17	2	49	1	US
3	3	3	2	2	2	2	3	2	3	25	1	55	1	GB
1	2	2	1	1	1	1	1	1	1	12	2	22	3	US
