P1	P2	P4	P6	P7	P3	P5	P8	P9	P10	TOTAL	gender	age	source	country
3	3	3	3	3	3	3	3	3	3	30	1	56	1	US
2	2	2	2	2	1	2	1	1	1	16	2	26	3	US
2	2	2	2	0	2	1	0	0	0	11	2	25	1	US
2	1	2	1	0	2	2	1	1	0	12	2	34	1	US
2	2	2	1	2	2	1	0	1	1	14	1	20	3	NL
1	2	1	1	1	1	1	1	1	1	11	1	39	1	US
3	3	2	2	3	2	2	1	1	1	20	1	16	1	US
3	2	2	2	2	2	2	2	1	1	19	2	53	1	US
3	3	2	3	2	3	2	1	1	2	22	2	23	3	US
3	2	2	1	1	2	2	1	3	2	19	2	32	3	CH
1	2	2	1	1	2	2	2	1	1	15	2	18	1	CA
2	2	2	2	3	1	2	1	3	2	20	2	22	3	ID
2	3	2	2	2	3	3	1	3	1	22	2	52	3	US
2	3	2	1	1	1	2	2	2	2	18	2	40	3	US
2	2	2	2	2	2	2	1	2	1	18	2	26	1	US
2	2	2	1	1	1	1	1	1	1	13	1	15	1	US
3	3	3	2	3	3	3	3	2	3	28	2	45	1	US
3	3	3	3	3	3	3	2	2	2	27	2	37	1	US
2	2	2	2	2	3	3	3	2	3	24	1	19	3	AU
2	2	2	1	1	2	2	0	1	1	14	2	46	1	GB
3	3	3	2	2	2	3	1	2	2	23	2	42	3	DK
1	2	0	2	1	1	1	2	1	0	11	2	25	1	GB
3	3	3	3	3	3	3	3	3	3	30	1	18	1	US
3	3	2	3	1	1	2	2	2	3	22	1	63	1	US
2	3	2	3	3	3	3	3	3	3	28	2	20	3	US
1	2	2	1	1	2	1	1	1	0	12	2	15	1	US
2	2	1	1	1	1	1	1	0	0	10	2	22	1	IN
2	2	2	2	1	2	2	2	1	1	17	1	58	1	AU
1	2	1	1	0	1	1	1	0	0	8	1	20	1	SE
2	2	2	2	2	2	2	1	2	2	19	1	50	3	CN
2	3	1	1	3	2	0	0	0	2	14	1	50	1	AU
3	3	3	2	2	2	2	2	1	1	21	1	49	1	IE
2	3	3	2	2	3	3	2	3	3	26	2	36	1	GB
2	2	2	1	1	2	1	2	1	1	15	1	19	1	US
1	2	1	1	1	0	1	0	0	0	7	2	16	3	US
3	3	2	3	3	2	3	3	3	3	28	2	24	3	PL
2	2	3	1	1	1	2	0	1	1	14	1	39	1	US
3	3	2	3	3	2	3	3	3	3	28	1	44	3	CN
2	2	2	2	1	1	2	1	1	2	16	2	37	3	AT
2	2	2	1	1	2	2	1	0	0	13	1	39	1	GB
2	2	2	3	3	3	3	2	2	2	24	2	23	1	NL
3	2	2	0	0	2	2	2	2	2	17	1	57	3	GB
1	2	2	0	1	1	3	1	0	0	11	1	20	3	GB
2	1	1	1	0	1	1	1	1	1	10	1	34	3	IT
1	2	3	1	1	1	1	0	1	1	12	1	30	3	DE
3	3	3	3	3	3	3	3	3	3	30	1	64	1	GB
1	2	2	0	0	2	1	0	1	1	10	2	54	3	GB
3	3	2	3	2	2	2	3	2	3	25	1	38	3	US
3	3	2	3	2	3	3	3	2	2	26	1	28	3	US
3	3	3	3	3	3	3	2	3	3	29	3	38	1	US
