"","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","VCL1","VCL2","VCL3","VCL4","VCL5","VCL6","VCL7","VCL8","VCL9","VCL10","VCL11","VCL12","VCL13","VCL14","VCL15","VCL16","testelapse","T1"
"70181",2,1,3,5,4,1,1,3,1,1,3,1,1,5,4,4,4,2,3,1,6,1,7,4,5,7,7,7,6,4,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"198",50
"70182",4,4,2,1,5,2,4,4,1,3,4,2,2,2,2,1,3,4,3,1,4,4,6,3,6,3,5,3,6,5,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,"163",54
"70183",1,3,5,3,3,2,1,5,1,2,4,1,1,5,4,2,3,2,5,1,5,2,4,6,5,5,6,5,5,5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,"259",54
"70184",2,1,2,3,4,4,3,2,2,3,3,5,2,3,3,2,5,2,5,1,6,5,7,4,5,7,3,6,7,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"241",57
"70185",2,3,4,3,3,4,2,4,2,1,3,3,3,5,1,1,3,5,5,2,2,2,7,3,6,3,4,3,4,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"201",59
"70186",4,4,5,4,3,5,5,5,2,4,4,5,5,4,5,5,5,2,4,2,2,4,5,1,6,3,4,1,2,7,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"176",82
"70187",4,4,3,3,5,3,4,3,1,3,3,4,1,4,3,4,5,2,5,2,4,4,4,3,4,3,5,4,4,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,"202",66
"70188",2,2,2,3,5,4,3,3,3,5,3,4,1,3,3,1,1,2,5,1,6,6,5,6,6,2,7,3,5,2,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,"690",56
"70189",5,1,5,5,5,3,2,1,3,4,4,5,1,5,3,4,3,2,1,5,5,3,3,6,1,7,5,4,2,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"207",67
"70190",4,5,5,5,3,4,4,5,4,2,5,2,2,5,4,4,1,5,4,5,2,3,6,3,6,1,5,1,6,2,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"258",78
"70191",3,5,3,4,4,3,4,4,2,2,5,5,3,4,4,2,2,4,5,2,7,1,6,5,7,6,7,3,7,7,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"310",70
"70192",2,2,5,3,4,2,2,4,2,5,5,5,2,4,4,3,2,4,4,1,3,2,5,5,5,3,6,3,5,6,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,"247",65
"70193",5,4,3,1,5,2,4,5,1,1,2,3,2,1,2,1,3,5,5,3,7,2,5,4,7,5,6,6,3,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"233",58
"70194",1,4,4,2,4,3,5,2,1,1,4,3,2,3,5,5,2,4,5,1,4,3,6,5,6,2,6,4,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"129",61
"70195",2,2,5,2,4,2,4,2,1,2,5,4,1,2,4,5,4,4,4,1,6,3,6,6,7,7,5,3,4,6,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,"682",60
"70196",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,4,5,6,5,3,5,3,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"80",96
